Customer_Gender,(All),,,,,,
,,,,,,,
Row Labels,Revenue Per Country,Sum of Cost,Sum of Profit,Sum of Revenue-cost,,,
United States,"$27,975,547","$16,901,903","$11,073,644","$11,073,644",,,
Australia,"$21,302,059","$14,526,029","$6,776,030","$6,776,030",,,
United Kingdom,"$10,646,196","$6,232,343","$4,413,853","$4,413,853",,,
Germany,"$8,978,596","$5,618,601","$3,359,995","$3,359,995",,,
France,"$8,432,872","$5,552,590","$2,880,282","$2,880,282",,,
Canada,"$7,935,738","$4,218,442","$3,717,296","$3,717,296",,,
Grand Total,"$85,271,008","$53,049,908","$32,221,100","$32,221,100",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Sum of Revenue,Column Labels,,,,,,
Row Labels,2011,2012,2013,2014,2015,2016,Grand Total
Australia,"$2,529,914","$2,557,511","$4,107,470","$2,802,842","$5,712,339","$3,591,983","$21,302,059"
Canada,"$789,798","$835,527","$1,443,537","$1,471,522","$1,731,954","$1,663,400","$7,935,738"
France,"$946,624","$962,153","$1,431,870","$1,411,100","$1,877,928","$1,803,197","$8,432,872"
Germany,"$833,603","$835,188","$1,452,704","$1,702,508","$1,931,091","$2,223,502","$8,978,596"
United Kingdom,"$823,481","$834,885","$1,868,796","$2,014,044","$2,484,181","$2,620,809","$10,646,196"
United States,"$3,041,468","$3,150,719","$4,935,660","$4,750,708","$6,286,498","$5,810,494","$27,975,547"
Grand Total,"$8,964,888","$9,175,983","$15,240,037","$14,152,724","$20,023,991","$17,713,385","$85,271,008"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Average of Profit,Column Labels,,,,,,
Row Labels,2011,2012,2013,2014,2015,2016,Grand Total
Alabama,,,25,27,27,26,26.25
Accessories,,,25,27,27,26,26.25
Alberta,2147.333333,1480.666667,245.3846154,229.3333333,253.4615385,269.0833333,416.9642857
Arizona,,,548,,1591.5,,1069.75
Bayern,1516.333333,1571.1,308.1126761,296.5739348,424.7288732,395.0075188,404.411641
Brandenburg,701.25,1109.25,319.1333333,290.68,450.2222222,299.1,360.3636364
British Columbia,1332.071749,1414.901345,232.1315961,195.3211155,268.6661238,214.5922975,261.642675
California,1387.635838,1470.895954,291.8115824,243.2950707,362.4836868,287.6644261,346.230245
Charente-Maritime,1757,1836,265.804878,196.5483871,363,223.8709677,310.8108108
England,1146.479245,1165.724528,265.9578557,246.6328583,343.0300067,310.7465773,324.0714391
Essonne,1721.708333,1812.208333,339.07109,254.370229,414.0616114,318.6183206,396.2253521
Florida,,,592.5,94.8,1314,82.6,335.7142857
Garonne (Haute),2626.333333,2108.333333,265.7878788,252.2058824,395.9090909,290.5441176,350.7067308
Georgia,747,498,160,46,143.5,49,243.375
Hamburg,1289.529412,1401.705882,274.7413793,248.1945607,359.2610837,311.6213389,335.7837691
Hauts de Seine,1633.714286,1625.571429,294.1923077,212.5923345,397.1452991,254.0243902,335.9197417
Hessen,1325.491525,1329.050847,279.6296296,242.7537092,348.9498911,303.6350148,341.1921141
Illinois,,,307,185.1428571,554.1428571,183.1428571,307.3571429
Kentucky,,,63,261.75,63,260.75,221.6
Loir et Cher,1218.5,1150,251.875,184.8529412,323.375,233.3235294,273.0083333
Loiret,1699.375,1411.5,270.6395349,181.8762887,380.5232558,205.7938144,310.1858639
Massachusetts,,,776,,776,,776
Minnesota,,,,39,,37,38
Mississippi,,,,83.5,,77.5,80.5
Missouri,,,171.6666667,,163.6666667,,167.6666667
Montana,,,194,,188.6666667,,191.3333333
Moselle,698.5714286,941.8571429,264.3787879,194.1666667,335.6212121,210.775,258.2279793
New South Wales,947.6728723,945.2393617,265.7457551,178.0412809,357.6005362,218.1392747,300.9684979
New York,,,98,130.625,115.5,128.75,125.1
Nord,1326.666667,1305.545455,242.5714286,184.1258427,299.9803922,231.5842697,278.7694611
Nordrhein-Westfalen,1070.555556,971.7777778,207.7662602,205.5262411,272.7256098,247.5943262,260.7717391
North Carolina,,,57.5,,52,,54.75
Ohio,,,145.1111111,291,138.5555556,279.8,193.1071429
Ontario,,,106,,93.33333333,,99.66666667
Oregon,1135.267327,1074.821782,207.7504409,170.2947443,242.7151675,201.9502841,238.0189179
Pas de Calais,1394,1115,140.4545455,160.40625,136.9090909,172.1875,207.9111111
Queensland,880.0591133,896.1182266,271.5932203,179.6544417,375.1669492,224.1083945,310.1835249
Saarland,851.9672131,818.1639344,195.7693662,165.5727513,238.3978873,212.4814815,228.9870036
Seine (Paris),886.8,1053.66,186.0862745,146.1721854,234.854902,184.0662252,219.5734536
Seine et Marne,1324.916667,944.6666667,208.88,180.3545455,267.0266667,285.8909091,289.8857868
Seine Saint Denis,995.8235294,993.7647059,192.5552239,146.5919662,230.0955224,163.1183932,211.2393112
Somme,1101.6,1057.8,147.2758621,178.6969697,145.4137931,212.6363636,240.2910448
South Australia,659.4259259,671.7222222,249.843342,178.1768116,326.0104439,205.6057971,271.6361893
South Carolina,,,,61.4,,42.8,52.1
Tasmania,891.65,778.5,200.2740385,144.238806,265.3798077,154.7462687,235.2527624
Texas,294,294,125.6666667,56.54545455,120.6666667,52.09090909,84.06666667
Utah,,,152.6,,166.4,,159.5
Val de Marne,1534.333333,1160.333333,128.2777778,96.85,129.9444444,139.2,169.7594937
Val d'Oise,1967,1311,181.3103448,162.2054795,206.5,166.2191781,188.4318182
Victoria,592.461165,616.1456311,216.6319759,157.6930894,286.0316742,189.5433604,237.3713431
Virginia,,,,159,,149.5,154.25
Washington,744.9495798,764.3067227,151.2870675,128.9942684,183.761944,149.106878,177.3393111
Wyoming,2479,1240,472,0,451,0,695.625
Yveline,641.7692308,724.5384615,137.3513514,140.6917293,173.2810811,179.9774436,186.8857442
Grand Total,1076.317146,1102.724318,243.8001882,199.472311,308.0048685,239.3342404,285.051665
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Age_Group,Youth (<25),,,,,,
,,,,,,,
Row Labels,Average of Customer_Age,,,,,,
F,21.22263042,,,,,,
M,20.90126268,,,,,,
Grand Total,21.04846309,,,,,,
